dataset,coluna,descricao,papel,unidade,dtype_original,dtype_tratado,regra_tratamento
details,accuracy_rating,accuracy rating,métrica,escala de avaliação,float64,float64,conversão numérica; inválidos viram ausentes
details,ad_description,ad description,atributo,texto/categoria,str,string,texto sem espaços laterais; ausentes preservados
details,ad_name,ad name,atributo,texto/categoria,str,string,texto sem espaços laterais; ausentes preservados
details,airbnb_listing_id,airbnb listing id,identificador,sem unidade,string,string,texto sem espaços laterais; ausentes preservados
details,amenities,amenities,atributo,texto/categoria,str,string,texto sem espaços laterais; ausentes preservados
details,aquisition_date,aquisition date,data,data/hora,str,datetime64[us],datetime; valores não interpretáveis viram ausentes
details,can_instant_book,can instant book,indicador,booleano,object,boolean,normalização explícita de verdadeiro/falso
details,check_in,check in,atributo,texto/categoria,str,string,texto sem espaços laterais; ausentes preservados
details,check_out,check out,atributo,texto/categoria,str,string,texto sem espaços laterais; ausentes preservados
details,checkin_rating,checkin rating,métrica,escala de avaliação,float64,float64,conversão numérica; inválidos viram ausentes
details,cleaning_fee,cleaning fee,métrica,BRL anunciado,float64,float64,conversão numérica; inválidos viram ausentes
details,cleanliness_rating,cleanliness rating,métrica,escala de avaliação,float64,float64,conversão numérica; inválidos viram ausentes
details,communication_rating,communication rating,métrica,escala de avaliação,float64,float64,conversão numérica; inválidos viram ausentes
details,guest_satisfaction_overall,guest satisfaction overall,métrica,escala de avaliação,int64,int64,conversão numérica; inválidos viram ausentes
details,house_rules,house rules,atributo,texto/categoria,str,string,texto sem espaços laterais; ausentes preservados
details,is_guest_favorite,is guest favorite,indicador,booleano,bool,boolean,normalização explícita de verdadeiro/falso
details,is_new_listing,is new listing,indicador,booleano,object,boolean,normalização explícita de verdadeiro/falso
details,is_professional,is professional,indicador,booleano,object,boolean,normalização explícita de verdadeiro/falso
details,latitude,latitude,métrica,graus decimais,float64,float64,conversão numérica; inválidos viram ausentes
details,listing_type,listing type,atributo,texto/categoria,str,string,texto sem espaços laterais; ausentes preservados
details,location_rating,location rating,métrica,escala de avaliação,float64,float64,conversão numérica; inválidos viram ausentes
details,longitude,longitude,métrica,graus decimais,float64,float64,conversão numérica; inválidos viram ausentes
details,min_nights,min nights,métrica,contagem/valor numérico,int64,int64,conversão numérica; inválidos viram ausentes
details,number_of_bathrooms,number of bathrooms,métrica,contagem/valor numérico,float64,float64,conversão numérica; inválidos viram ausentes
details,number_of_bedrooms,number of bedrooms,métrica,contagem/valor numérico,int64,int64,conversão numérica; inválidos viram ausentes
details,number_of_beds,number of beds,métrica,contagem/valor numérico,int64,int64,conversão numérica; inválidos viram ausentes
details,number_of_guests,number of guests,métrica,contagem/valor numérico,int64,int64,conversão numérica; inválidos viram ausentes
details,number_of_reviews,number of reviews,métrica,contagem/valor numérico,int64,int64,conversão numérica; inválidos viram ausentes
details,owner_id,owner id,identificador,sem unidade,string,string,texto sem espaços laterais; ausentes preservados
details,picture_count,picture count,métrica,contagem/valor numérico,int64,int64,conversão numérica; inválidos viram ausentes
details,safety_features,safety features,atributo,texto/categoria,str,string,texto sem espaços laterais; ausentes preservados
details,space,space,atributo,texto/categoria,str,string,texto sem espaços laterais; ausentes preservados
details,star_rating,star rating,métrica,escala de avaliação,float64,float64,conversão numérica; inválidos viram ausentes
details,url,url,atributo,texto/categoria,str,string,texto sem espaços laterais; ausentes preservados
details,value_rating,value rating,métrica,escala de avaliação,float64,float64,conversão numérica; inválidos viram ausentes
